TestID,Kategori,Senaryo,Uyarı/Stimulus,Beklenen Davranış,Kanıt/Kayıt,Araç/Komut
215,Property Micro,Rastgele invariant 215,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
216,Property Micro,Rastgele invariant 216,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
217,Property Micro,Rastgele invariant 217,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
218,Property Micro,Rastgele invariant 218,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
219,Property Micro,Rastgele invariant 219,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
220,Property Micro,Rastgele invariant 220,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
221,Property Micro,Rastgele invariant 221,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
222,Property Micro,Rastgele invariant 222,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
223,Property Micro,Rastgele invariant 223,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
224,Property Micro,Rastgele invariant 224,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
225,Property Micro,Rastgele invariant 225,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
226,Property Micro,Rastgele invariant 226,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
227,Property Micro,Rastgele invariant 227,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
228,Property Micro,Rastgele invariant 228,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
229,Property Micro,Rastgele invariant 229,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
230,Property Micro,Rastgele invariant 230,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
231,Property Micro,Rastgele invariant 231,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
232,Property Micro,Rastgele invariant 232,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
233,Property Micro,Rastgele invariant 233,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
234,Property Micro,Rastgele invariant 234,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
235,Property Micro,Rastgele invariant 235,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
236,Property Micro,Rastgele invariant 236,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
237,Property Micro,Rastgele invariant 237,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
238,Property Micro,Rastgele invariant 238,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
239,Property Micro,Rastgele invariant 239,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
240,Property Micro,Rastgele invariant 240,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
241,Property Micro,Rastgele invariant 241,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
242,Property Micro,Rastgele invariant 242,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
243,Property Micro,Rastgele invariant 243,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
244,Property Micro,Rastgele invariant 244,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
245,Property Micro,Rastgele invariant 245,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
246,Property Micro,Rastgele invariant 246,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
247,Property Micro,Rastgele invariant 247,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
248,Property Micro,Rastgele invariant 248,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
249,Property Micro,Rastgele invariant 249,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
250,Property Micro,Rastgele invariant 250,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
251,Property Micro,Rastgele invariant 251,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
252,Property Micro,Rastgele invariant 252,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
253,Property Micro,Rastgele invariant 253,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
254,Property Micro,Rastgele invariant 254,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
255,Property Micro,Rastgele invariant 255,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
256,Property Micro,Rastgele invariant 256,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
257,Property Micro,Rastgele invariant 257,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
258,Property Micro,Rastgele invariant 258,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
259,Property Micro,Rastgele invariant 259,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
260,Property Micro,Rastgele invariant 260,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
261,Property Micro,Rastgele invariant 261,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
262,Property Micro,Rastgele invariant 262,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
263,Property Micro,Rastgele invariant 263,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
264,Property Micro,Rastgele invariant 264,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
265,Property Micro,Rastgele invariant 265,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
266,Property Micro,Rastgele invariant 266,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
267,Property Micro,Rastgele invariant 267,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
268,Property Micro,Rastgele invariant 268,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
269,Property Micro,Rastgele invariant 269,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
270,Property Micro,Rastgele invariant 270,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
271,Property Micro,Rastgele invariant 271,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
272,Property Micro,Rastgele invariant 272,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
273,Property Micro,Rastgele invariant 273,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
274,Property Micro,Rastgele invariant 274,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
275,Property Micro,Rastgele invariant 275,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
276,Property Micro,Rastgele invariant 276,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
277,Property Micro,Rastgele invariant 277,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
278,Property Micro,Rastgele invariant 278,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
279,Property Micro,Rastgele invariant 279,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
280,Property Micro,Rastgele invariant 280,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
281,Property Micro,Rastgele invariant 281,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
282,Property Micro,Rastgele invariant 282,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
283,Property Micro,Rastgele invariant 283,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
284,Property Micro,Rastgele invariant 284,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
285,Property Micro,Rastgele invariant 285,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
286,Property Micro,Rastgele invariant 286,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
287,Property Micro,Rastgele invariant 287,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
288,Property Micro,Rastgele invariant 288,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
289,Property Micro,Rastgele invariant 289,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
290,Property Micro,Rastgele invariant 290,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
291,Property Micro,Rastgele invariant 291,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
292,Property Micro,Rastgele invariant 292,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
293,Property Micro,Rastgele invariant 293,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
294,Property Micro,Rastgele invariant 294,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
295,Property Micro,Rastgele invariant 295,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
296,Property Micro,Rastgele invariant 296,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
297,Property Micro,Rastgele invariant 297,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
298,Property Micro,Rastgele invariant 298,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
299,Property Micro,Rastgele invariant 299,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
300,Property Micro,Rastgele invariant 300,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
301,Property Micro,Rastgele invariant 301,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
302,Property Micro,Rastgele invariant 302,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
303,Property Micro,Rastgele invariant 303,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
304,Property Micro,Rastgele invariant 304,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
305,Property Micro,Rastgele invariant 305,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
306,Property Micro,Rastgele invariant 306,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
307,Property Micro,Rastgele invariant 307,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
308,Property Micro,Rastgele invariant 308,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
309,Property Micro,Rastgele invariant 309,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
310,Property Micro,Rastgele invariant 310,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
311,Property Micro,Rastgele invariant 311,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
312,Property Micro,Rastgele invariant 312,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
313,Property Micro,Rastgele invariant 313,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
314,Property Micro,Rastgele invariant 314,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
315,Property Micro,Rastgele invariant 315,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
316,Property Micro,Rastgele invariant 316,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
317,Property Micro,Rastgele invariant 317,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
318,Property Micro,Rastgele invariant 318,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
319,Property Micro,Rastgele invariant 319,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
320,Property Micro,Rastgele invariant 320,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
321,Property Micro,Rastgele invariant 321,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
322,Property Micro,Rastgele invariant 322,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
323,Property Micro,Rastgele invariant 323,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
324,Property Micro,Rastgele invariant 324,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
325,Property Micro,Rastgele invariant 325,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
326,Property Micro,Rastgele invariant 326,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
327,Property Micro,Rastgele invariant 327,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
328,Property Micro,Rastgele invariant 328,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
329,Property Micro,Rastgele invariant 329,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
330,Property Micro,Rastgele invariant 330,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
331,Property Micro,Rastgele invariant 331,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
332,Property Micro,Rastgele invariant 332,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
333,Property Micro,Rastgele invariant 333,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
334,Property Micro,Rastgele invariant 334,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
335,Property Micro,Rastgele invariant 335,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
336,Property Micro,Rastgele invariant 336,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
337,Property Micro,Rastgele invariant 337,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
338,Property Micro,Rastgele invariant 338,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
339,Property Micro,Rastgele invariant 339,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
340,Property Micro,Rastgele invariant 340,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
341,Property Micro,Rastgele invariant 341,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
342,Property Micro,Rastgele invariant 342,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
343,Property Micro,Rastgele invariant 343,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
344,Property Micro,Rastgele invariant 344,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
345,Property Micro,Rastgele invariant 345,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
346,Property Micro,Rastgele invariant 346,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
347,Property Micro,Rastgele invariant 347,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
348,Property Micro,Rastgele invariant 348,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
349,Property Micro,Rastgele invariant 349,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
350,Property Micro,Rastgele invariant 350,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
351,Property Micro,Rastgele invariant 351,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
352,Property Micro,Rastgele invariant 352,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
353,Property Micro,Rastgele invariant 353,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
354,Property Micro,Rastgele invariant 354,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
355,Property Micro,Rastgele invariant 355,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
356,Property Micro,Rastgele invariant 356,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
357,Property Micro,Rastgele invariant 357,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
358,Property Micro,Rastgele invariant 358,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
359,Property Micro,Rastgele invariant 359,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
360,Property Micro,Rastgele invariant 360,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
361,Property Micro,Rastgele invariant 361,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
362,Property Micro,Rastgele invariant 362,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
363,Property Micro,Rastgele invariant 363,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
364,Property Micro,Rastgele invariant 364,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
365,Property Micro,Rastgele invariant 365,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
366,Property Micro,Rastgele invariant 366,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
367,Property Micro,Rastgele invariant 367,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
368,Property Micro,Rastgele invariant 368,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
369,Property Micro,Rastgele invariant 369,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
370,Property Micro,Rastgele invariant 370,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
371,Property Micro,Rastgele invariant 371,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
372,Property Micro,Rastgele invariant 372,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
373,Property Micro,Rastgele invariant 373,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
374,Property Micro,Rastgele invariant 374,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
375,Property Micro,Rastgele invariant 375,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
376,Property Micro,Rastgele invariant 376,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
377,Property Micro,Rastgele invariant 377,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
378,Property Micro,Rastgele invariant 378,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
379,Property Micro,Rastgele invariant 379,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
380,Property Micro,Rastgele invariant 380,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
381,Property Micro,Rastgele invariant 381,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
382,Property Micro,Rastgele invariant 382,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
383,Property Micro,Rastgele invariant 383,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
384,Property Micro,Rastgele invariant 384,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
385,Property Micro,Rastgele invariant 385,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
386,Property Micro,Rastgele invariant 386,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
387,Property Micro,Rastgele invariant 387,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
388,Property Micro,Rastgele invariant 388,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
389,Property Micro,Rastgele invariant 389,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
390,Property Micro,Rastgele invariant 390,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
391,Property Micro,Rastgele invariant 391,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
392,Property Micro,Rastgele invariant 392,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
393,Property Micro,Rastgele invariant 393,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
394,Property Micro,Rastgele invariant 394,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
395,Property Micro,Rastgele invariant 395,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
396,Property Micro,Rastgele invariant 396,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
397,Property Micro,Rastgele invariant 397,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
398,Property Micro,Rastgele invariant 398,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
399,Property Micro,Rastgele invariant 399,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
400,Property Micro,Rastgele invariant 400,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
401,Property Micro,Rastgele invariant 401,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
402,Property Micro,Rastgele invariant 402,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
403,Property Micro,Rastgele invariant 403,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
404,Property Micro,Rastgele invariant 404,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
405,Property Micro,Rastgele invariant 405,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
406,Property Micro,Rastgele invariant 406,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
407,Property Micro,Rastgele invariant 407,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
408,Property Micro,Rastgele invariant 408,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
409,Property Micro,Rastgele invariant 409,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
410,Property Micro,Rastgele invariant 410,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
411,Property Micro,Rastgele invariant 411,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
412,Property Micro,Rastgele invariant 412,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
413,Property Micro,Rastgele invariant 413,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
414,Property Micro,Rastgele invariant 414,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
415,Property Micro,Rastgele invariant 415,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
416,Property Micro,Rastgele invariant 416,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
417,Property Micro,Rastgele invariant 417,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
418,Property Micro,Rastgele invariant 418,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
419,Property Micro,Rastgele invariant 419,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
420,Property Micro,Rastgele invariant 420,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
